ref,PTT,D_DATE,NSATS_DETECTED,NSATS_TRANSMITTED,CNT,LAT,LON,RESIDUAL,TIMESHIFT,SUBMITTED,NSATS_HEALTHY,NBITS,DELETED,V_MASK,KM_FROM_HOME,EST_SPEED
ob02-721-11,96721,7/11/2011,7,7,1,-21.07699966,-70.19927216,5.099999905,-2.299999952,7/23/2011,7,15,,0,32.565,0.29
ob02-721-11,96721,7/11/2011,8,8,1,-21.08910942,-70.1942215,3.900000095,-2.900000095,7/23/2011,8,15,,0,34.01,0.44
ob02-721-11,96721,7/12/2011,10,8,1,-21.09544945,-70.18054962,2.299999952,-2.799999952,7/23/2011,8,15,,0,35.155,0.7
ob02-721-11,96721,7/12/2011,8,8,1,-21.10230064,-70.16333771,7.800000191,-2.799999952,7/23/2011,8,15,,0,36.528,0.67
ob02-721-11,96721,7/12/2011,9,8,2,-21.11096001,-70.15203857,6.400000095,-2.799999952,7/23/2011,8,15,,0,37.879,0.64
ob02-721-11,96721,7/12/2011,8,8,1,-21.13529968,-70.17523956,4.599999905,-2.799999952,7/23/2011,8,15,,0,39.513,0.55
ob02-721-11,96721,7/12/2011,8,8,2,-21.14340973,-70.18016052,8.5,-2.799999952,7/23/2011,8,15,,0,40.206,0.24
ob02-721-11,96721,7/12/2011,8,8,2,-21.14138985,-70.18032074,7.900000095,-2.799999952,7/23/2011,8,15,,0,39.987,0.07
ob02-721-11,96721,7/12/2011,9,8,1,-21.14097977,-70.17575836,10.5,-2.799999952,7/23/2011,8,15,,0,40.094,0.1
ob02-721-11,96721,7/12/2011,5,5,2,-21.13301086,-70.1765976,7.699999809,-2.400000095,7/23/2011,5,15,,0,39.227,0.12
ob02-721-11,96721,7/12/2011,10,8,1,-21.13138962,-70.17639923,8.699999809,-2.299999952,7/23/2011,8,15,,0,39.063,0.08
ob02-721-11,96721,7/12/2011,10,8,1,-21.14271927,-70.16281128,6.5,-2.900000095,7/23/2011,8,15,,0,40.729,0.17
ob02-721-11,96721,7/12/2011,10,8,1,-21.13755989,-70.15998077,4.199999809,-2.900000095,7/23/2011,8,15,,0,40.297,0.48
ob02-721-11,96721,7/12/2011,8,8,1,-21.02242088,-70.1771698,3.799999952,-2.900000095,7/25/2011,8,15,,0,27.86,0.36
ob02-721-11,96721,7/13/2011,7,7,1,-21.02198982,-70.17794037,13.80000019,-2.900000095,7/25/2011,7,15,,0,27.781,0.62
ob02-721-11,96721,7/13/2011,5,5,2,-21.03589058,-70.20345306,0.699999988,-2.900000095,7/25/2011,5,15,,0,28.112,0.86
ob02-721-11,96721,7/13/2011,10,8,1,-21.09630013,-70.27243042,6,-3,7/25/2011,8,15,,0,33.108,0.38
ob02-721-11,96721,7/13/2011,7,7,1,-21.09539032,-70.23133087,3.400000095,-3,7/25/2011,7,15,,0,33.648,0.17
ob02-721-11,96721,7/13/2011,10,8,1,-21.09708023,-70.23509979,4.699999809,-3,7/25/2011,8,15,,0,33.751,0.11
ob02-721-11,96721,7/14/2011,8,8,1,-21.0842495,-70.22817993,10.10000038,-2.5,7/25/2011,8,15,,0,32.511,0.27
ob02-721-11,96721,7/14/2011,8,8,1,-21.05730057,-70.21151733,11.39999962,-3,7/25/2011,8,15,,0,30.083,0.54
ob02-721-11,96721,7/14/2011,6,6,1,-21.04527092,-70.20189667,2.599999905,-2.5,7/25/2011,6,15,,0,29.146,0.36
ob02-721-11,96721,7/15/2011,10,8,1,-21.01948929,-70.24047089,6.599999905,-3.099999905,7/25/2011,8,15,,0,25.205,0.12
ob02-721-11,96721,7/15/2011,8,8,1,-21.0157299,-70.24295807,3.900000095,-3.099999905,7/25/2011,8,15,,0,24.736,0.39
ob02-721-11,96721,7/15/2011,9,8,1,-21.01082039,-70.25592804,4.300000191,-3.099999905,7/25/2011,8,15,,0,23.911,0.7
ob02-721-11,96721,7/15/2011,9,8,1,-21.00980949,-70.27526855,11.69999981,-3.099999905,7/25/2011,8,15,,0,23.497,0.7
ob02-721-11,96721,7/15/2011,10,8,1,-20.99691963,-70.27796936,6.599999905,-3.099999905,7/25/2011,8,15,,0,22.04,0.41
ob02-721-11,96721,7/16/2011,8,8,1,-20.87014008,-70.32700348,6.900000095,-3.200000048,7/25/2011,8,15,,0,8.298,0.35
ob02-721-11,96721,7/16/2011,8,8,1,-20.91616058,-70.44036865,3.700000048,-2.700000048,7/25/2011,8,15,,0,19.504,0.66
ob02-721-11,96721,7/16/2011,7,7,2,-20.87855911,-70.48623657,3.400000095,-3.200000048,7/25/2011,7,15,,0,21.257,0.9
ob02-721-11,96721,7/16/2011,7,7,1,-20.85823059,-70.49127197,7.300000191,-3.200000048,7/25/2011,7,15,,0,20.929,1.01
ob02-721-11,96721,7/16/2011,9,8,1,-20.81105995,-70.49201202,3.900000095,-3.200000048,7/25/2011,8,15,,0,20.018,0.67
ob02-721-11,96721,7/19/2011,8,8,1,-21.34943962,-70.25688934,4.900000095,-3.5,7/25/2011,8,15,,0,61.326,0.32
ob02-721-11,96721,7/20/2011,6,6,2,-21.41394043,-70.16513062,15.60000038,-3.400000095,7/31/2011,6,15,,0,69.763,0.42
ob02-721-11,96721,7/20/2011,10,8,1,-21.65711021,-70.2309494,8.199999809,-3.5,8/2/2011,8,15,,0,95.68,0.37
ob02-721-11,96721,7/21/2011,6,6,1,-21.65527916,-70.20835876,6.300000191,-3.5,8/2/2011,6,15,,0,95.681,0.65
ob02-721-11,96721,7/21/2011,7,7,3,-21.65468025,-70.18486786,6.599999905,-3,8/2/2011,7,15,,0,95.888,0.63
ob02-721-11,96721,7/21/2011,9,8,1,-21.64602089,-70.15731049,8.5,-3.599999905,8/2/2011,8,15,,0,95.333,0.27
ob02-721-11,96721,7/21/2011,9,8,1,-21.53915024,-70.21424103,7,-3.099999905,8/2/2011,8,15,,0,82.76,0.31
ob02-721-11,96721,7/21/2011,9,8,1,-21.54660034,-70.21418762,3.299999952,-3.599999905,8/2/2011,8,15,,0,83.585,0.39
ob02-721-11,96721,7/21/2011,10,8,1,-21.52640915,-70.19046783,6.800000191,-3.599999905,8/2/2011,8,15,,0,81.657,0.66
ob02-721-11,96721,7/21/2011,10,8,1,-21.4944706,-70.16841888,7.099999905,-3.599999905,8/2/2011,8,15,,0,78.504,0.7
ob02-721-11,96721,7/22/2011,5,5,1,-18.8291893,-70.56542206,11445.09961,-54,8/2/2011,5,15,,20,,
ob02-721-11,96721,7/22/2011,9,8,1,-21.34716988,-70.11316681,5.300000191,-3.599999905,8/2/2011,8,15,,0,63.926,0.73
ob02-721-11,96721,7/22/2011,10,8,3,-21.32716942,-70.11547852,11.69999981,-3.599999905,8/2/2011,8,15,,0,61.734,1.08
ob02-721-11,96721,7/22/2011,8,8,1,-21.26931953,-70.11357117,12.39999962,-3.599999905,8/2/2011,8,15,,0,55.719,0.84
ob02-721-11,96721,7/22/2011,9,8,1,-21.20716095,-70.13707733,7.800000191,-3.200000048,8/2/2011,8,15,,0,48.383,0.55
ob02-721-11,96721,7/22/2011,9,8,1,-21.19284058,-70.13973236,3.900000095,-3.700000048,8/2/2011,8,15,,0,46.795,0.87
ob02-721-11,96721,7/22/2011,9,8,1,-21.0730896,-70.16506958,6.099999905,-3.700000048,8/2/2011,8,15,,0,33.48,0.68
ob02-721-11,96721,7/22/2011,8,8,3,-21.06720924,-70.16668701,7.300000191,-3.700000048,8/2/2011,8,15,,0,32.816,0.18
ob02-721-11,96721,7/23/2011,7,7,1,-21.04674911,-70.16851807,3.599999905,-3.700000048,8/2/2011,7,15,,0,30.682,0.04
ob02-721-11,96721,7/23/2011,7,7,1,-21.04670906,-70.1682663,7.599999905,-3.599999905,8/2/2011,7,15,,0,30.689,0.02
ob02-721-11,96721,7/23/2011,8,8,1,-21.03717041,-70.17263031,6.300000191,-3.299999952,8/2/2011,8,15,,0,29.537,0.34
ob02-721-11,96721,7/23/2011,9,8,1,-21.02421951,-70.18266296,6,-3.799999952,8/2/2011,8,15,,0,27.782,0.44
ob02-721-11,96721,7/24/2011,10,8,1,-20.98596954,-70.17967987,11.60000038,-3.299999952,8/4/2011,8,15,,0,24.19,0.33
ob02-721-11,96721,7/24/2011,8,8,1,-20.96800995,-70.17382813,4.900000095,-3.799999952,8/4/2011,8,15,,0,22.847,0.25
ob02-721-11,96721,7/24/2011,9,8,1,-20.96875954,-70.17571259,4.900000095,-3.799999952,8/4/2011,8,15,,0,22.804,0.13
ob02-721-11,96721,7/24/2011,8,8,1,-20.9654808,-70.17823029,4.300000191,-3.799999952,8/4/2011,8,15,,0,22.354,0.31
ob02-721-11,96721,7/24/2011,8,8,1,-21.02246094,-70.17736053,8.300000191,-3.799999952,8/4/2011,8,15,,0,27.855,0.22
ob02-721-11,96721,7/24/2011,6,6,1,-21.02249908,-70.17756653,1.899999976,-3.799999952,8/4/2011,6,15,,0,27.849,0
ob02-721-11,96721,7/25/2011,5,5,1,-21.02255058,-70.17720795,1.899999976,-3.900000095,8/4/2011,5,15,,0,27.871,0.01
ob02-721-11,96721,7/25/2011,5,5,1,-21.02185059,-70.17614746,1.299999952,-3.900000095,8/4/2011,5,15,,0,27.852,0.03
ob02-721-11,96721,7/25/2011,6,6,1,-21.01934052,-70.18022156,7.099999905,-3.900000095,8/4/2011,6,15,,0,27.41,0.03
ob02-721-11,96721,7/25/2011,9,8,1,-21.02202034,-70.17736816,10.5,-3.900000095,8/7/2011,8,15,,0,27.811,0.18
ob02-721-11,96721,7/26/2011,6,6,1,-20.97720909,-70.21347046,1.100000024,-3.900000095,8/7/2011,6,15,,0,21.682,0.22
ob02-721-11,96721,7/26/2011,6,6,1,-20.97830963,-70.21524048,2.599999905,-3.900000095,8/7/2011,6,15,,0,21.719,0.32
ob02-721-11,96721,7/26/2011,10,8,1,-21.06649017,-70.37757874,3.299999952,-4,8/7/2011,8,15,,0,30.742,0.38
ob02-721-11,96721,7/26/2011,8,8,1,-21.07081985,-70.3768692,12.5,-4,8/7/2011,8,15,,0,31.188,0.37
ob02-721-11,96721,7/26/2011,9,8,1,-21.12841988,-70.36833954,7.599999905,-4,8/7/2011,8,15,,0,37.243,0.53
ob02-721-11,96721,7/26/2011,9,8,1,-21.13884926,-70.34490967,4.699999809,-4.099999905,8/7/2011,8,15,,0,38.008,0.59
ob02-721-11,96721,7/26/2011,10,8,1,-21.15189934,-70.30235291,3.299999952,-3.5,8/7/2011,8,15,,0,39.173,0.47
ob02-721-11,96721,7/27/2011,9,8,1,-21.23456001,-70.12387848,8,-4.099999905,8/7/2011,8,15,,0,51.72,0.69
ob02-721-11,96721,7/27/2011,8,8,1,-21.19794083,-70.15712738,6.900000095,-4.099999905,8/7/2011,8,15,,0,46.72,0.77
ob02-721-11,96721,7/28/2011,7,7,1,-21.05688095,-70.18582153,9.600000381,-3.599999905,8/7/2011,7,15,,0,30.962,0.38
ob02-721-11,96721,7/28/2011,8,8,1,-21.0436306,-70.18080139,9.300000191,-4.099999905,8/8/2011,8,15,,0,29.818,0.18
ob02-721-11,96721,7/28/2011,8,8,1,-21.0222702,-70.1772995,2.700000048,-4.199999809,8/9/2011,8,15,,0,27.839,0.12
ob02-721-11,96721,7/29/2011,10,8,1,-21.01847076,-70.25089264,5.699999809,-4.199999809,8/9/2011,8,15,,0,24.85,0.35
ob02-721-11,96721,7/29/2011,8,8,1,-21.01853943,-70.23908997,7.699999809,-4.199999809,8/9/2011,8,15,,0,25.138,0.68
ob02-721-11,96721,7/29/2011,11,8,2,-21.01713943,-70.21833038,12.60000038,-4.199999809,8/10/2011,8,15,,0,25.62,0.67
ob02-721-11,96721,7/29/2011,7,7,2,-23.13509941,-69.29456329,14167.2002,10.19999981,8/10/2011,7,15,,20,,
ob02-721-11,96721,7/29/2011,7,7,1,-21.00362015,-70.18675232,4.099999905,-4.199999809,8/10/2011,7,15,,0,25.544,0.39
ob02-721-11,96721,7/29/2011,8,8,1,-21.02210999,-70.1765976,10.5,-4.199999809,8/10/2011,8,15,,0,27.857,0.16
ob02-721-11,96721,7/29/2011,10,8,1,-21.02135086,-70.17677307,8.199999809,-3.700000048,8/10/2011,8,15,,0,27.773,0.14
ob02-721-11,96721,7/30/2011,9,8,1,-20.98502922,-70.27584076,8.5,-4.300000191,8/10/2011,8,15,,0,20.75,0.59
ob02-721-11,96721,7/30/2011,9,8,1,-20.97308922,-70.29389954,9.899999619,-4.300000191,8/10/2011,8,15,,0,19.278,0.71
ob02-721-11,96721,7/30/2011,8,8,1,-20.96636009,-70.30351257,7.900000095,-4.300000191,8/10/2011,8,15,,0,18.522,0.38
ob02-721-11,96721,7/30/2011,9,8,1,-20.97179031,-70.30341339,5.599999905,-4.300000191,8/10/2011,8,15,,0,19.127,0.15
ob02-721-11,96721,7/30/2011,9,8,1,-20.9664402,-70.30519867,6.900000095,-4.300000191,8/10/2011,8,15,,0,18.536,0.35
ob02-721-11,96721,7/30/2011,6,6,1,-20.95318985,-70.30032349,10,-4.300000191,8/10/2011,6,15,,0,17.053,1.01
ob02-721-11,96721,7/30/2011,9,8,1,-20.89263916,-70.30316925,4.699999809,-4.300000191,8/10/2011,8,15,,0,10.318,0.94
ob02-721-11,96721,7/30/2011,8,8,2,-20.86557961,-70.30164337,8.899999619,-4.300000191,8/10/2011,8,15,,0,7.302,0.61
ob02-721-11,96721,7/30/2011,10,8,1,-20.76478958,-70.35785675,9.100000381,-4.300000191,8/10/2011,8,15,,0,7.184,0.98
ob02-721-11,96721,7/30/2011,10,8,1,-20.76535988,-70.38803101,3.200000048,-4.300000191,8/10/2011,8,15,,0,9.94,1.05
ob02-721-11,96721,7/30/2011,9,8,2,-20.76992989,-70.40722656,2.799999952,-4.300000191,8/10/2011,8,15,,0,11.651,0.68
ob02-721-11,96721,7/30/2011,6,6,1,-20.74810028,-70.40857697,5.900000095,-4.300000191,8/10/2011,6,15,,0,12.691,0.77
ob02-721-11,96721,7/30/2011,9,8,3,-20.72760963,-70.39969635,3,-4.300000191,8/10/2011,8,15,,0,13.138,0.94
ob02-721-11,96721,7/30/2011,8,8,1,-20.70923042,-70.39949036,4.800000191,-4.300000191,8/10/2011,8,15,,0,14.469,1
ob02-721-11,96721,7/30/2011,9,8,1,-20.67901993,-70.35610199,3.099999905,-4.300000191,8/10/2011,8,15,,0,14.679,0.97
ob02-721-11,96721,7/30/2011,8,8,1,-20.66420937,-70.3469696,9.399999619,-3.799999952,8/10/2011,8,15,,0,15.887,0.87
ob02-721-11,96721,7/31/2011,8,8,1,-20.38266945,-70.18711853,6.199999809,-4.400000095,8/10/2011,8,15,,0,47.922,1.22
ob02-721-11,96721,7/31/2011,9,8,1,-20.35062981,-70.19217682,9.399999619,-4.400000095,8/10/2011,8,15,,0,51.269,1.5
ob02-721-11,96721,7/31/2011,7,7,2,-20.31847954,-70.17639923,10,-4.400000095,8/10/2011,7,15,,0,55.128,1.55
ob02-721-11,96721,7/31/2011,8,8,1,-20.25181007,-70.15499115,7.800000191,-4.400000095,8/10/2011,8,15,,0,62.868,1.6
ob02-721-11,96721,7/31/2011,7,7,3,-20.21512985,-70.17739105,8.100000381,-4.400000095,8/10/2011,7,15,,0,66.349,1.48
ob02-721-11,96721,7/31/2011,8,8,2,-20.13027954,-70.14380646,8.100000381,-4.400000095,8/10/2011,8,15,,0,76.31,0.83
